message_text	message_type
мне нужна справка	statement_general
оформить справку	statement_general
взять справку	statement_general
справку как получить	statement_general
справку ммф где получаться	statement_general
справка как получить	statement_general
справку оформить	statement_general
оформлять справка	statement_general
оформлять справку	statement_general
справку	statement_general
справку оформлять	statement_general
где получать справка	statement_general
справка где получать	statement_general
заказать справку	statement_general
справка оформлять	statement_general
справку надо мне оформить	statement_general
оформлять справку где	statement_general
как оформить справку чорт	statement_general
мне нужно оформить и получить справку	statement_general
справку оформить где можно	statement_general
где получить справочку	statement_general
справку где получать	statement_general
где мне заказать справку	statement_general
справка оформлять быстро	statement_general
мне нужна справка ааа	statement_general
оформить справка студента эф	statement_general
взять справка студента фия	statement_general
справка студента эф получать	statement_general
оформлять справка об обучении	statement_general
оформлять справка студента фия	statement_general
получать справка о обучении	statement_general
заказать справка студента фия	statement_general
справка обучающегося петь	statement_general
брать справка студента ммф	statement_general
оформить справка студента	statement_general
оформить справка обучающегося	statement_general
справка студента фф получить	statement_general
как мне заказать справка студента	statement_general
как мне заказать справка студента фия	statement_general
брать справка студента фия	statement_general
справка обучающегося как мне заказать	statement_general
петь справка студента фф	statement_general
справка студента ммф получаться	statement_general
получить справка об обучении	statement_general
получать справка об обучении	statement_general
справка студента ггф заказать	statement_general
взять справка студента ггф	statement_general
получить справка студента	statement_general
справка студента эф получить	statement_general
справка студента фия брать	statement_general
получаться справка о обучении	statement_general
справка студента фф заказать	statement_general
петь справка студента	statement_general
взять справка студента	statement_general
справка студента получить	statement_general
взять справка студента эф	statement_general
оформлять справка студента фф	statement_general
справка обучающегося получить	statement_general
оформить справка студента фф	statement_general
заказать справка студента фф	statement_general
петь справка студента фит	statement_general
петь справка о обучении	statement_general
справка обучающегося взять	statement_general
получать справка студента ммф	statement_general
получаться справка студента	statement_general
справка об обучении брать	statement_general
справка студента фит получаться	statement_general
получать справка студента ггф	statement_general
получаться справка об обучении	statement_general
оформлять справка студента ггф	statement_general
справка студента взять	statement_general
как мне заказать справка студента ммф	statement_general
оформлять справка обучающегося	statement_general
взять справка студента ммф	statement_general
справка студента оформлять	statement_general
получить справка студента эф	statement_general
брать справка обучающегося	statement_general
как мне заказать справка студента фит	statement_general
справка обучающегося получаться	statement_general
взять справка обучающегося	statement_general
справка студента ммф петь	statement_general
получаться справка студента эф	statement_general
получить справка обучающегося	statement_general
справка студента фия заказать	statement_general
заказать справка студента	statement_general
справка студента ггф петь	statement_general
получать справка студента эф	statement_general
оформлять справка студента эф	statement_general
брать справка студента фит	statement_general
справка студента фит получить	statement_general
справка студента фия взять	statement_general
петь справка обучающегося	statement_general
справка студента фф взять	statement_general
получить справка студента ггф	statement_general
справка о обучении брать	statement_general
справка студента фия получить	statement_general
справка студента ммф брать	statement_general
как мне заказать справка студента фф	statement_general
справка студента ммф оформить	statement_general
петь справка студента эф	statement_general
получить справка студента фия	statement_general
оформить справка о обучении	statement_general
справка студента фия получаться	statement_general
как мне заказать справка студента ггф	statement_general
получать справка студента	statement_general
брать справка студента ггф	statement_general
справка о обучении оформить	statement_general
получить справка студента фф	statement_general
брать справка об обучении	statement_general
петь справка студента фия	statement_general
получаться справка студента ммф	statement_general
справка студента фия как мне заказать	statement_general
справка студента ммф как мне заказать	statement_general
справка о обучении получать	statement_general
справка студента фф как мне заказать	statement_general
взять справка студента фит	statement_general
петь справка студента ггф	statement_general
справка студента фит оформлять	statement_general
справка студента эф оформить	statement_general
заказать справка обучающегося	statement_general
получать справка студента фия	statement_general
справка студента ггф брать	statement_general
оформить справка студента ггф	statement_general
оформлять справка студента фит	statement_general
петь справка об обучении	statement_general
справка студента ггф получаться	statement_general
брать справка о обучении	statement_general
оформить справка студента ммф	statement_general
справка студента получать	statement_general
справка студента фит заказать	statement_general
брать справка студента эф	statement_general
справка студента заказать	statement_general
справка об обучении взять	statement_general
оформлять справка студента ммф	statement_general
заказать справка об обучении	statement_general
справка об обучении получаться	statement_general
справка студента фит получать	statement_general
справка обучающегося получать	statement_general
справка о обучении заказать	statement_general
справка студента ммф заказать	statement_general
справка об обучении как мне заказать	statement_general
справка студента получаться	statement_general
получать справка студента фф	statement_general
справка студента ггф взять	statement_general
получить справка студента фит	statement_general
справка студента брать	statement_general
заказать справка студента фит	statement_general
справка студента ммф получать	statement_general
справка студента фит взять	statement_general
оформить справка об обучении	statement_general
справка студента ггф как мне заказать	statement_general
справка студента ммф получить	statement_general
получаться справка студента фф	statement_general
получаться справка обучающегося	statement_general
заказать справка студента эф	statement_general
справка о обучении получаться	statement_general
оформить справка студента фит	statement_general
получить справка студента ммф	statement_general
как мне заказать справка о обучении	statement_general
справка о обучении оформлять	statement_general
заказать справка студента ммф	statement_general
справка студента фит брать	statement_general
справка студента фия оформить	statement_general
получить справка о обучении	statement_general
справка студента ггф получать	statement_general
справка обучающегося оформлять	statement_general
справка обучающегося заказать	statement_general
справка о обучении получить	statement_general
справка о обучении взять	statement_general
получать справка обучающегося	statement_general
справка студента ггф получить	statement_general
справка студента оформить	statement_general
справка студента ггф оформить	statement_general
справка студента фит как мне заказать	statement_general
справка студента фф оформить	statement_general
оформлять справка студента	statement_general
получаться справка студента фия	statement_general
справка студента эф получаться	statement_general
справка обучающегося брать	statement_general
оформлять справка о обучении	statement_general
справка студента фф получать	statement_general
как мне заказать справка студента эф	statement_general
справка об обучении заказать	statement_general
справка студента ммф взять	statement_general
справка студента эф как мне заказать	statement_general
справка студента эф оформлять	statement_general
взять справка о обучении	statement_general
справка обучающегося оформить	statement_general
справка студента эф взять	statement_general
справка студента ггф оформлять	statement_general
взять справка об обучении	statement_general
справка студента фия оформлять	statement_general
брать справка студента фф	statement_general
справка об обучении получить	statement_general
оформить справка студента фия	statement_general
справка студента фф получаться	statement_general
получаться справка студента фит	statement_general
как мне заказать справка обучающегося	statement_general
справка студента фия получать	statement_general
брать справка студента	statement_general
справка студента фф брать	statement_general
заказать справка о обучении	statement_general
справка студента эф заказать	statement_general
получаться справка студента ггф	statement_general
справка об обучении оформить	statement_general
справка об обучении оформлять	statement_general
петь справка студента ммф	statement_general

находится стоимость общежития	dorm
находится стоимость общежития	dorm
расположен где стоимость общежития	dorm
распологается где цена общежития	dorm
расположен где плата за общежитие	dorm
цена общежития находится	dorm
цена общежития расположен где	dorm
плата за общежитие где есть	dorm
плата за общежитие стоять	dorm
стоимость общежития стоять	dorm
расположен где плата за общежитие	dorm
где есть цена общежития	dorm
распологается где стоимость общежития	dorm
плата за общежитие расположен где	dorm
стоимость общежития находится	dorm
стоимость общежития где есть	dorm
расположен где стоимость общежития	dorm
находится цена общежития	dorm
цена общежития расположен где	dorm
находится плата за общежитие	dorm
плата за общежитие	dorm
распологается где плата за общежитие	dorm
плата за общежитие находится	dorm
стоять цена общежития	dorm
расположен где цена общежития	dorm
стоять плата за общежитие	dorm
плата за общежитие находится	dorm
плата за общежитие расположен где	dorm
стоимость общежития распологается где	dorm
находится цена общежития	dorm
стоимость общежития находится	dorm
стоимость общежития расположен где	dorm
цена общежития где есть	dorm
стоять стоимость общежития	dorm
где есть стоимость общежития	dorm
цена общежития распологается где	dorm
цена общежития стоять	dorm
находится плата за общежитие	dorm
стоимость общежития	dorm
цена общежития находится	dorm
расположен где цена общежития	dorm
где есть плата за общежитие	dorm

где есть событие	events
мероприятие расположен где	events
стоять мероприятие	events
мероприятие расположен где	events
где есть интересный	events
распологается где мероприятие	events
мероприятие находится	events
событие стоять	events
интересный где есть	events
расположен где мероприятие	events
интересный стоять	events
интересный расположен где	events
мероприятие стоять	events
мероприятие распологается где	events
интересный расположен где	events
событие распологается где	events
расположен где событие	events
событие	events
событие расположен где	events
расположен где интересный	events
стоять интересный	events
распологается где событие	events
где есть мероприятие	events
мероприятие где есть	events
интересный	events
мероприятие находится	events
событие где есть	events
интересный находится	events
событие расположен где	events
находится мероприятие	events
расположен где интересный	events
мероприятие	events
расположен где мероприятие	events
находится событие	events
находится интересный	events
распологается где интересный	events
находится мероприятие	events
событие находится	events
интересный распологается где	events
находится интересный	events
расположен где событие	events
находится событие	events


как получать выплату социальную	finassist
мне матпомощь взять нужно	finassist
заказать помощь материальная	finassist
расположен где помощь денежный	finassist
выплата социальная стоять	finassist
стоять матпомощь	finassist
помощь материальная находится	finassist
матпомощь получать	finassist
выплата социальная распологается где	finassist
выплата социальная оформлять	finassist
как мне заказать выплата социальная	finassist
выплата социальная петь	finassist
помощь денежный распологается где	finassist
выплата социальная находится	finassist
помощь материальная находится	finassist
находится помощь денежный	finassist
получаться помощь материальная	finassist
помощь денежный получать	finassist
матпомощь как мне заказать	finassist
помощь материальная получаться	finassist
помощь материальная получать	finassist
помощь денежный петь	finassist
помощь материальная	finassist
матпомощь расположен где	finassist
выплата социальная получаться	finassist
расположен где матпомощь	finassist
расположен где право на помощь материальный	finassist
выплата социальная взять	finassist
взять матпомощь	finassist
выплата социальная получить	finassist
распологается где матпомощь	finassist
помощь материальная получить	finassist
оформлять помощь материальная	finassist
распологается где право на помощь материальный	finassist
помощь материальная расположен где	finassist
как мне заказать право на помощь материальный	finassist
оформить выплата социальная	finassist
выплата социальная получать	finassist
выплата социальная расположен где	finassist
где есть право на помощь материальный	finassist
брать право на помощь материальный	finassist
где есть выплата социальная	finassist
право на помощь материальный расположен где	finassist
право на помощь материальный получаться	finassist
помощь денежный как мне заказать	finassist
расположен где выплата социальная	finassist
помощь денежный стоять	finassist
помощь денежный находится	finassist
брать помощь материальная	finassist
брать помощь денежный	finassist
помощь материальная оформить	finassist
находится помощь материальная	finassist
матпомощь находится	finassist
выплата социальная расположен где	finassist
помощь материальная взять	finassist
помощь денежный где есть	finassist
право на помощь материальный расположен где	finassist
получать право на помощь материальный	finassist
помощь денежный взять	finassist
помощь материальная распологается где	finassist
получать помощь материальная	finassist
помощь материальная заказать	finassist
находится матпомощь	finassist
выплата социальная где есть	finassist
помощь материальная где есть	finassist
получать выплата социальная	finassist
получать помощь денежный	finassist
право на помощь материальный брать	finassist
право на помощь материальный оформлять	finassist
брать матпомощь	finassist
где есть матпомощь	finassist
распологается где помощь материальная	finassist
право на помощь материальный находится	finassist
оформлять помощь денежный	finassist
расположен где матпомощь	finassist
стоять помощь денежный	finassist
заказать матпомощь	finassist
матпомощь	finassist
получить выплата социальная	finassist
как мне заказать матпомощь	finassist
получить право на помощь материальный	finassist
выплата социальная оформить	finassist
взять помощь материальная	finassist
матпомощь брать	finassist
находится помощь денежный	finassist
оформить матпомощь	finassist
как мне заказать помощь материальная	finassist
помощь материальная петь	finassist
право на помощь материальный петь	finassist
заказать выплата социальная	finassist
где есть помощь материальная	finassist
помощь денежный расположен где	finassist
помощь денежный брать	finassist
выплата социальная как мне заказать	finassist
находится право на помощь материальный	finassist
петь помощь материальная	finassist
помощь денежный получаться	finassist
право на помощь материальный стоять	finassist
матпомощь заказать	finassist
помощь денежный оформлять	finassist
получить помощь материальная	finassist
находится матпомощь	finassist
петь матпомощь	finassist
матпомощь находится	finassist
помощь денежный находится	finassist
находится выплата социальная	finassist
помощь материальная брать	finassist
брать выплата социальная	finassist
оформлять право на помощь материальный	finassist
оформлять матпомощь	finassist
получаться право на помощь материальный	finassist
оформить помощь материальная	finassist
право на помощь материальный находится	finassist
находится право на помощь материальный	finassist
матпомощь оформлять	finassist
заказать право на помощь материальный	finassist
оформить помощь денежный	finassist
помощь материальная расположен где	finassist
право на помощь материальный распологается где	finassist
петь выплата социальная	finassist
помощь материальная оформлять	finassist
оформлять выплата социальная	finassist
помощь денежный оформить	finassist
получаться помощь денежный	finassist
матпомощь стоять	finassist
взять помощь денежный	finassist
право на помощь материальный получить	finassist
распологается где выплата социальная	finassist
получить матпомощь	finassist
помощь денежный расположен где	finassist
петь помощь денежный	finassist
стоять помощь материальная	finassist
стоять выплата социальная	finassist
расположен где помощь материальная	finassist
право на помощь материальный оформить	finassist
матпомощь где есть	finassist
право на помощь материальный где есть	finassist
получить помощь денежный	finassist
находится выплата социальная	finassist
взять выплата социальная	finassist
петь право на помощь материальный	finassist
право на помощь материальный заказать	finassist
расположен где помощь материальная	finassist
право на помощь материальный взять	finassist
оформить право на помощь материальный	finassist
помощь материальная как мне заказать	finassist
заказать помощь денежный	finassist
расположен где выплата социальная	finassist
помощь денежный	finassist
расположен где помощь денежный	finassist
получаться матпомощь	finassist
выплата социальная	finassist
выплата социальная заказать	finassist
выплата социальная брать	finassist
помощь денежный заказать	finassist
