message_text	message_type
деканат эф найти	loc
деканат эф найти	loc
деканат эф найти	loc
Уничтожить эф, чтобы найти	loc
Уничтожить эф, чтобы найти	loc
деканат эф как пройти	loc
деканат эф как пройти	loc
деканат эф как пройти	loc
Уничтожить эф-эф, как пройти	loc
Уничтожить эф-эф, как пройти	loc
эф где есть	loc
эф где есть	loc
эф где есть	loc
Забудь.	loc
Забудь.	loc
распологается где деканат факультета экономики	loc
распологается где деканат факультета экономики	loc
распологается где деканат факультета экономики	loc
где декан факультета экономики	loc
где декан факультета экономики	loc
эф находится	loc
эф находится	loc
эф находится	loc
Конечно.	loc
Конечно.	loc
найти деканат факультета естественных наук	loc
найти деканат факультета естественных наук	loc
найти деканат факультета естественных наук	loc
Найти декана факультета наук	loc
Найти декана факультета наук	loc
деканат факультета естественных наук где есть	loc
деканат факультета естественных наук где есть	loc
деканат факультета естественных наук где есть	loc
Декан факультета естественных наук	loc
Декан факультета естественных наук	loc
деканат фен раскопать	loc
деканат фен раскопать	loc
деканат фен раскопать	loc
Уничтожить фен для волос, чтобы выкопать его.	loc
Уничтожить фен для волос, чтобы выкопать его.	loc
деканат фф где есть	loc
деканат фф где есть	loc
деканат фф где есть	loc
Динат и далее там, где есть	loc
Динат и далее там, где есть	loc
отыскать деканат фф	loc
отыскать деканат фф	loc
отыскать деканат фф	loc
Найди декана и дальше.	loc
Найди декана и дальше.	loc
отыскать деканат физического факультета	loc
отыскать деканат физического факультета	loc
отыскать деканат физического факультета	loc
Найти декана физического факультета	loc
Найти декана физического факультета	loc
деканат факультета информационных технологий раскопать	loc
деканат факультета информационных технологий раскопать	loc
деканат факультета информационных технологий раскопать	loc
Декан Департамента информационных технологий	loc
Декан Департамента информационных технологий	loc
где есть деканат фит	loc
где есть деканат фит	loc
где есть деканат фит	loc
где есть деканатная фитнес.	loc
где есть деканатная фитнес.	loc
расположен где деканат фит	loc
расположен где деканат фит	loc
расположен где деканат фит	loc
Она расположена там, где находится фиолетовый деканат.	loc
Она расположена там, где находится фиолетовый деканат.	loc
отыскать деканат ггф	loc
отыскать деканат ггф	loc
отыскать деканат ггф	loc
Найдите деканатный ггф.	loc
Найдите деканатный ггф.	loc
деканат геолого геофизического факультета	loc
деканат геолого геофизического факультета	loc
деканат геолого геофизического факультета	loc
Декан геологического геофизического факультета	loc
Декан геологического геофизического факультета	loc
отыскать деканат геолого геофизического факультета	loc
отыскать деканат геолого геофизического факультета	loc
отыскать деканат геолого геофизического факультета	loc
Найти декана геофизического департамента	loc
Найти декана геофизического департамента	loc
распологается где деканат геолого геофизического факультета	loc
распологается где деканат геолого геофизического факультета	loc
распологается где деканат геолого геофизического факультета	loc
Где находится декан геологического геофизического факультета	loc
Где находится декан геологического геофизического факультета	loc
деканат ги раскопать	loc
деканат ги раскопать	loc
деканат ги раскопать	loc
Ги Дин его выкопает.	loc
Ги Дин его выкопает.	loc
находится деканат ги	loc
находится деканат ги	loc
находится деканат ги	loc
Это декан парня.	loc
Это декан парня.	loc
ги обнаружить	loc
ги обнаружить	loc
ги обнаружить	loc
Ребята, которых нужно найти	loc
Ребята, которых нужно найти	loc
находится ги	loc
находится ги	loc
находится ги	loc
это джи	loc
это джи	loc
найти деканат института медицины и психологии	loc
найти деканат института медицины и психологии	loc
найти деканат института медицины и психологии	loc
Найти декана Института медицины и психологии	loc
Найти декана Института медицины и психологии	loc
деканат факультета медицины и психологии найти	loc
деканат факультета медицины и психологии найти	loc
деканат факультета медицины и психологии найти	loc
Декан факультета медицины и психологии	loc
Декан факультета медицины и психологии	loc
институт цитологии и генетики со ран находится	loc
институт цитологии и генетики со ран находится	loc
институт цитологии и генетики со ран находится	loc
Институт цитологии и генетики расположен от ран.	loc
Институт цитологии и генетики расположен от ран.	loc
найти институт цитологии и генетики со ран	loc
найти институт цитологии и генетики со ран	loc
найти институт цитологии и генетики со ран	loc
Найдите институт цитологии и генетики из ран.	loc
Найдите институт цитологии и генетики из ран.	loc
институт геологии находится институт геологии и минералогии со ран	loc
институт геологии находится институт геологии и минералогии со ран	loc
институт геологии находится институт геологии и минералогии со ран	loc
Институт геологии является Институтом геологии и минералогии из ран.	loc
Институт геологии является Институтом геологии и минералогии из ран.	loc
где есть институт геологии	loc
где есть институт геологии	loc
где есть институт геологии	loc
где есть институт геологии.	loc
где есть институт геологии.	loc
институт минералогии находится	loc
институт минералогии находится	loc
институт минералогии находится	loc
Институт минералогии	loc
Институт минералогии	loc
институт минералогии раскопать	loc
институт минералогии раскопать	loc
институт минералогии раскопать	loc
Институт минералогии	loc
Институт минералогии	loc
институт геологии и минералогии со ран доехать	loc
институт геологии и минералогии со ран доехать	loc
институт геологии и минералогии со ран доехать	loc
Институт геологии и минералогии для путешествий от ран	loc
Институт геологии и минералогии для путешествий от ран	loc
институт геологии и минералогии со ран как пройти	loc
институт геологии и минералогии со ран как пройти	loc
институт геологии и минералогии со ран как пройти	loc
Институт геологии и минералогии из ран	loc
Институт геологии и минералогии из ран	loc
идти институт электрометрии	loc
идти институт электрометрии	loc
идти институт электрометрии	loc
Пойти в Институт электрометрии	loc
Пойти в Институт электрометрии	loc
институт электрометрии ехать институт автоматики	loc
